iter	R2	RMSE
0	0.02878495847	15552.07548
1	0.05603554096	15332.34126
2	0.08206163653	15119.49953
3	0.1057824948	14922.86599
4	0.1237039845	14772.57059
5	0.1415565287	14621.31745
6	0.1603848999	14460.08266
7	0.1778272481	14309.09593
8	0.1914562985	14190.0003
9	0.2065363123	14057.0498
10	0.2202032235	13935.46206
11	0.2323904383	13826.1366
12	0.2436998631	13723.90632
13	0.2517025161	13651.10471
14	0.2611815558	13564.36663
15	0.2700571647	13482.6444
16	0.275730718	13430.14459
17	0.2808033021	13383.03143
18	0.2876689862	13318.99887
19	0.295374781	13246.7624
20	0.3003301266	13200.10065
21	0.3053800754	13152.37775
22	0.3086214937	13121.65432
23	0.3125405283	13084.41184
24	0.3185207924	13027.37637
25	0.3230434616	12984.076
26	0.3270071476	12946.0083
27	0.3318921927	12898.93721
28	0.3351003662	12867.93037
29	0.338019548	12839.65156
30	0.3410643295	12810.08951
31	0.3441774619	12779.79314
32	0.346780435	12754.40629
33	0.3507654439	12715.44223
34	0.3510602842	12712.55464
35	0.3529679727	12693.85533
36	0.355356845	12670.40051
37	0.3578162727	12646.2075
38	0.3609403642	12615.40941
39	0.3619438397	12605.50092
40	0.3647734983	12577.51835
41	0.3677873741	12547.64543
42	0.3691215067	12534.39904
43	0.3695422581	12530.21856
44	0.3716043072	12509.71038
45	0.3729291611	12496.51624
46	0.374980918	12476.05537
47	0.3773394309	12452.4939
48	0.3782706411	12443.17885
49	0.379852924	12427.335
50	0.3807637581	12418.20539
51	0.3817501003	12408.31136
52	0.3828791837	12396.9758
53	0.3845604929	12380.07687
54	0.387160596	12353.89757
55	0.3884449364	12340.94562
56	0.3895787406	12329.50045
57	0.3897840164	12327.42716
58	0.3909085966	12316.06268
59	0.3910092028	12315.04549
60	0.3936041338	12288.78006
61	0.3949134981	12275.50557
62	0.3957918064	12266.59313
63	0.3958808092	12265.68964
64	0.3965568315	12258.82493
65	0.3984836483	12239.23784
66	0.3994172641	12229.73587
67	0.4004561115	12219.1542
68	0.4012985547	12210.56637
69	0.402193744	12201.43423
70	0.4025755516	12197.53719
71	0.4033184423	12189.95108
72	0.40346126	12188.49214
73	0.4041158809	12181.80269
74	0.4051344856	12171.38645
75	0.4062735878	12159.72743
76	0.4067908675	12154.42924
77	0.4069239125	12153.06616
78	0.4071569258	12150.67852
79	0.407985684	12142.1826
80	0.4083697032	12138.24386
81	0.4094678645	12126.97335
82	0.4099089982	12122.44302
83	0.4107232167	12114.07675
84	0.4127111646	12093.62583
85	0.4137317052	12083.11363
86	0.4144447475	12075.76342
87	0.4153850862	12066.06333
88	0.4157948459	12061.83401
89	0.4168340553	12051.10118
90	0.4184231137	12034.67106
91	0.4191657333	12026.98503
92	0.4204145239	12014.04909
93	0.4213946182	12003.88676
94	0.4219952248	11997.65498
95	0.4226088996	11991.28426
96	0.4231218344	11985.95675
97	0.4232289202	11984.84422
98	0.4232300631	11984.83235
99	0.4233057057	11984.04642
100	0.4239179719	11977.68311
101	0.4243297232	11973.40185
102	0.4244584476	11972.0631
103	0.4246974564	11969.57699
104	0.4250263883	11966.15467
105	0.4256107205	11960.07266
106	0.4259863273	11956.16153
107	0.4261572293	11954.38154
108	0.4266308109	11949.44766
109	0.4272436882	11943.05954
110	0.4276729873	11938.58285
111	0.4283331549	11931.6954
112	0.4288497229	11926.30334
113	0.4293181249	11921.41194
114	0.4302208799	11911.97904
115	0.4302868794	11911.28911
116	0.4307707929	11906.22932
117	0.4314493791	11899.13042
118	0.4316608299	11896.9175
119	0.4329832355	11883.06862
120	0.4332555555	11880.21475
121	0.4338037663	11874.46751
122	0.4340608599	11871.77127
123	0.4348027112	11863.98777
124	0.4351343442	11860.50662
125	0.4355548479	11856.09114
126	0.4359748361	11851.67942
127	0.4373808132	11836.89853
128	0.438082746	11829.51227
129	0.4386873299	11823.14669
130	0.4392063554	11817.67921
131	0.4397780748	11811.65372
132	0.4407258016	11801.65861
133	0.4413718559	11794.8402
134	0.4418933124	11789.33392
135	0.4420682826	11787.48575
136	0.4421348685	11786.78235
137	0.4422381368	11785.69135
138	0.4425519886	11782.37499
139	0.4428529483	11779.19398
140	0.4442924013	11763.96769
141	0.4446629571	11760.04482
142	0.4451590156	11754.79128
143	0.4454712388	11751.48346
144	0.4458927896	11747.01589
145	0.4464861429	11740.72469
146	0.4474688628	11730.2977
147	0.4480694125	11723.92109
148	0.4481486339	11723.07967
149	0.4484356191	11720.03103
150	0.4488676439	11715.44015
151	0.4493247807	11710.58045
152	0.449741623	11706.14736
153	0.4499398119	11704.03904
154	0.4504147569	11698.98507
155	0.4509036859	11693.78002
156	0.4513250207	11689.2927
157	0.4517461814	11684.80551
158	0.4521929296	11680.04382
159	0.4523747197	11678.10564
160	0.453261743	11668.64393
161	0.4533029151	11668.20456
162	0.4541044447	11659.64787
163	0.4541451339	11659.21332
164	0.4546074254	11654.27511
165	0.4547814183	11652.41597
166	0.4548294363	11651.90284
167	0.4548673714	11651.49744
168	0.4550994732	11649.01674
169	0.4551528771	11648.44588
170	0.4561039168	11638.27516
171	0.4566008943	11632.95679
172	0.4567842488	11630.99402
173	0.45712447	11627.35115
174	0.4575207185	11623.10694
175	0.4578559918	11619.51461
176	0.4581278037	11616.60144
177	0.4584452312	11613.19845
178	0.4586614704	11610.87969
179	0.4591086129	11606.08344
180	0.4598462293	11598.1671
181	0.4600544198	11595.93175
182	0.4602073024	11594.28997
183	0.4603326566	11592.94364
184	0.4608147708	11587.76418
185	0.4610733218	11584.98556
186	0.4611099852	11584.59149
187	0.4612668253	11582.90556
188	0.4615504214	11579.85646
189	0.4618011598	11577.15997
190	0.4621044676	11573.89729
191	0.462402852	11570.68668
192	0.4636084471	11557.7054
193	0.4637824709	11555.83039
194	0.4640557071	11552.88581
195	0.464389821	11549.28415
196	0.4646201475	11546.80063
197	0.4648009701	11544.85052
198	0.4650982253	11541.64401
199	0.4652967934	11539.50155
200	0.4661450349	11530.34491
201	0.4662666857	11529.03111
202	0.4676797468	11513.75941
203	0.4678535004	11511.88017
204	0.4681884647	11508.25647
205	0.4682151813	11507.9674
206	0.4696982241	11491.90947
207	0.4700180559	11488.44349
208	0.4704479668	11483.78294
209	0.4707516366	11480.4898
210	0.4720276769	11466.64148
211	0.4726132091	11460.28134
212	0.4728077983	11458.16691
213	0.4729416829	11456.71187
214	0.4740877923	11444.24855
215	0.4752167124	11431.95887
216	0.4753569768	11430.431
217	0.4756154702	11427.61475
218	0.4757416269	11426.24003
219	0.4758806137	11424.72532
220	0.4760498195	11422.881
221	0.4762929393	11420.23051
222	0.4768651449	11413.9899
223	0.4770018102	11412.49889
224	0.4784579148	11396.60077
225	0.4787378431	11393.5419
226	0.4793712899	11386.61698
227	0.479660383	11383.45518
228	0.4797460403	11382.51818
229	0.4799110249	11380.7132
230	0.480055697	11379.13022
231	0.4809174407	11369.69656
232	0.4810768892	11367.95018
233	0.4813578013	11364.87282
234	0.4822039331	11355.59851
235	0.4823923587	11353.53217
236	0.4828940985	11348.0281
237	0.4833417522	11343.1151
238	0.4834327115	11342.11656
239	0.4836897542	11339.2943
240	0.4838378892	11337.6675
241	0.4849934048	11324.96975
242	0.4856762478	11317.45942
243	0.4862022175	11311.67108
244	0.4863621077	11309.91089
245	0.4864874394	11308.53095
246	0.4865967956	11307.32677
247	0.4867775725	11305.33585
248	0.4868959639	11304.03181
249	0.4876699625	11295.50273
250	0.4885604189	11285.68237
251	0.4892086783	11278.5277
252	0.4896977074	11273.1274
253	0.4898713799	11271.20893
254	0.4903394606	11266.03666
255	0.4913364629	11255.01191
256	0.4915226047	11252.95237
257	0.491652151	11251.51881
258	0.4923984821	11243.25631
259	0.4925367896	11241.72447
260	0.4933034652	11233.22926
261	0.4934041349	11232.1133
262	0.4941661298	11223.66275
263	0.4943233504	11221.91837
264	0.4943809796	11221.2789
265	0.4945735751	11219.14155
266	0.4950277078	11214.10014
267	0.4960267355	11203.00176
268	0.4962373621	11200.66047
269	0.4972609374	11189.2756
270	0.4976089593	11185.40203
271	0.4984686288	11175.82795
272	0.4990689815	11169.13699
273	0.4991921286	11167.76402
274	0.4994369407	11165.03409
275	0.4995881296	11163.34783
276	0.5002041034	11156.47505
277	0.5003198427	11155.1832
278	0.5008336659	11149.44627
279	0.5013482381	11143.69801
280	0.501549463	11141.44933
281	0.5019689473	11136.76015
282	0.5020429912	11135.93225
283	0.5021369672	11134.8814
284	0.5028030192	11127.43066
285	0.5029085021	11126.25023
286	0.5030171387	11125.03437
287	0.5031545278	11123.49653
288	0.5037795964	11116.49723
289	0.5043732489	11109.84564
290	0.5051010929	11101.68506
291	0.5056265178	11095.79027
292	0.5060519887	11091.01458
293	0.5061323344	11090.11251
294	0.506275735	11088.50231
295	0.5065007379	11085.97536
296	0.5067156344	11083.56138
297	0.5068071634	11082.53306
298	0.5073114228	11076.866
299	0.5074358597	11075.46709
300	0.5079453042	11069.73809
